GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620238.00,CT,0238.00,0.1631,2338,1277,1209,45600
4620239.00,CT,0239.00,0.542,4606,2745,2498,38800
4620240.00,CT,0240.00,0.3076,3118,1667,1538,33600
4620241.00,CT,0241.00,0.206,2791,1480,1358,31800
4620242.00,CT,0242.00,0.3705,6077,3258,3027,32800
4620243.00,CT,0243.00,0.2549,3677,1915,1776,33600
4620244.00,CT,0244.00,0.1757,2064,1133,1067,39200
4620245.00,CT,0245.00,0.2197,2883,1680,1549,39200
4620247.00,CT,0247.00,0.1931,2148,1226,1136,46400
4620249.00,CT,0249.00,0.5301,4188,2304,2156,36800
4620250.00,CT,0250.00,0.4484,3994,2057,1933,35200
4620251.01,CT,0251.01,0.475,3669,1612,1519,29400
4620251.02,CT,0251.02,0.2363,2649,1309,1233,28400
4620252.00,CT,0252.00,0.3254,5186,2506,2358,30200
4620253.00,CT,0253.00,0.4582,3598,1636,1554,32400
